0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,1
2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
4,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,1
4,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1
0,0,0,4,0,0,0,0,4,0,0,0,2,2,0,0,3,1
0,0,0,4,0,2,0,0,0,0,0,4,0,0,0,4,3,1
0,0,2,4,0,0,0,2,0,0,0,4,0,0,0,4,0,1
0,0,2,4,0,0,0,2,0,0,0,8,0,2,0,0,0,1
0,2,2,4,0,0,0,2,0,0,2,8,0,0,0,0,0,1
0,2,4,4,0,2,0,2,0,0,0,8,0,0,0,0,1,1
0,0,0,0,0,0,0,4,0,2,0,2,0,4,4,8,2,1
0,0,0,0,4,0,0,0,4,0,0,0,8,8,0,2,3,1
0,0,0,0,2,0,0,4,0,0,0,4,0,0,16,2,3,1
0,0,0,0,0,0,2,4,0,0,0,4,2,0,16,2,3,1
0,0,2,0,0,0,2,4,0,0,0,4,0,2,16,2,3,1
0,0,0,2,0,0,2,4,0,0,0,4,2,2,16,2,0,1
2,2,2,2,0,0,16,8,0,2,0,2,0,0,0,0,3,1
2,0,4,4,0,0,16,8,0,0,0,4,0,0,0,0,2,1
2,8,0,0,16,8,0,0,4,0,0,0,2,0,0,0,1,1
2,2,0,0,16,0,0,0,4,0,0,0,2,16,0,0,1,1
2,0,0,0,16,0,2,0,4,2,0,0,2,16,0,0,2,1
2,0,0,0,16,2,2,0,4,2,0,0,2,16,0,0,1,1
2,2,0,0,16,0,0,0,4,4,0,0,2,16,2,0,0,1
2,2,2,0,16,4,0,0,4,16,2,0,2,0,0,0,2,1
0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,1
0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
4,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,1
4,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0
4,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0
4,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0
4,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,4,0,0,0,0,0,8,2,0,0,3,1
0,0,0,0,0,0,0,4,0,0,0,0,2,0,8,2,3,1
0,0,0,0,0,0,0,4,0,2,0,0,0,2,8,2,0,1
0,4,8,4,0,0,0,2,0,0,0,0,0,0,0,4,0,1
0,4,8,4,0,0,0,2,2,0,0,4,0,0,0,0,0,1
2,4,8,4,0,0,0,2,0,2,0,4,0,0,0,0,0,1
2,4,8,4,0,2,0,2,0,0,0,4,0,4,0,0,2,1
2,4,8,4,4,0,2,0,4,0,0,0,4,0,0,0,3,1
2,4,8,4,0,0,4,2,2,0,0,4,0,0,0,4,0,1
4,4,8,4,0,0,4,2,0,0,0,8,0,0,0,2,0,1
4,4,8,4,0,0,4,2,0,0,0,8,0,0,0,2,0,0
4,4,8,4,0,0,4,2,0,0,0,8,0,0,0,2,0,0
4,4,8,4,0,0,4,2,0,0,0,8,0,0,0,2,0,0
4,4,8,4,0,0,4,2,0,0,0,8,0,0,0,2,0,0
4,4,8,4,0,0,4,2,0,0,0,8,0,0,0,2,0,0
4,4,8,4,0,0,4,2,0,0,0,8,0,0,0,2,3,1
0,8,8,4,2,0,4,2,0,0,0,8,0,0,0,2,0,1
2,8,8,4,0,0,4,2,0,0,0,8,0,0,2,2,0,1
2,8,8,4,0,0,4,2,0,0,2,8,0,2,0,2,0,1
2,8,8,4,2,2,4,2,0,0,2,8,0,0,0,2,0,1
4,8,8,4,2,2,4,2,0,0,2,8,0,0,0,2,0,1
4,8,8,4,2,2,4,2,0,0,2,8,0,0,0,2,0,0
4,8,8,4,2,2,4,2,0,0,2,8,0,0,0,2,0,0
4,8,8,4,2,2,4,2,0,0,2,8,0,0,0,2,0,0
4,8,8,4,2,2,4,2,0,0,2,8,0,0,0,2,2,1
4,16,4,2,4,4,2,0,2,8,0,0,2,0,0,0,3,1
4,16,4,2,0,2,8,2,0,0,2,8,0,0,0,2,0,1
4,16,4,4,0,2,8,8,2,0,2,2,0,0,0,0,3,1
0,4,16,8,0,0,2,16,0,0,2,4,0,2,0,0,2,1
4,16,8,0,2,16,0,0,2,4,0,0,2,0,2,0,1,1
0,0,0,0,4,0,0,0,2,32,8,0,4,4,2,2,3,1
0,2,0,0,0,0,0,4,0,2,32,8,0,0,8,4,2,1
2,0,0,0,4,2,0,0,2,32,8,0,8,4,0,0,3,1
0,0,0,2,0,0,4,2,0,2,32,8,0,2,8,4,0,1
0,4,4,4,0,0,32,8,2,0,8,4,0,0,0,0,2,1
8,4,0,0,32,8,0,0,2,8,4,0,0,0,0,2,2,1
8,4,0,0,32,8,0,2,2,8,4,0,2,0,0,0,1,1
0,0,0,0,8,0,4,0,32,4,0,0,4,16,4,2,3,1
0,0,0,0,0,0,8,4,0,4,32,4,4,16,4,2,0,1
4,4,8,8,0,16,32,2,0,2,4,0,0,0,0,0,2,1
8,16,0,0,16,32,2,0,2,4,0,0,0,0,2,0,2,1
8,16,2,0,16,32,2,0,2,4,0,0,2,0,0,0,2,1
8,16,2,0,16,32,2,0,2,4,0,0,2,0,0,0,2,0
8,16,2,0,16,32,2,0,2,4,0,0,2,0,0,0,2,0
8,16,2,0,16,32,2,0,2,4,0,0,2,0,0,0,2,0
8,16,2,0,16,32,2,0,2,4,0,0,2,0,0,0,2,0
8,16,2,0,16,32,2,0,2,4,0,0,2,0,0,0,2,0
8,16,2,0,16,32,2,0,2,4,0,0,2,0,0,0,0,1
8,16,4,0,16,32,0,0,4,4,0,0,0,0,0,2,2,1
8,16,4,0,16,32,0,4,8,0,0,0,2,0,0,0,1,1
8,0,0,0,16,0,2,0,8,16,0,0,2,32,4,4,2,1
8,0,0,0,16,2,0,0,8,16,2,0,2,32,8,0,0,1
8,2,2,0,16,16,8,0,8,32,0,0,2,0,0,4,2,1
8,4,0,0,32,8,0,0,8,32,0,2,2,4,0,0,2,1
8,4,0,2,32,8,0,0,8,32,2,0,2,4,0,0,2,1
8,4,2,0,32,8,2,0,8,32,2,0,2,4,0,0,2,1
8,4,2,0,32,8,2,0,8,32,2,0,2,4,0,0,2,0
8,4,2,0,32,8,2,0,8,32,2,0,2,4,0,0,2,0
8,4,2,0,32,8,2,0,8,32,2,0,2,4,0,0,2,0
8,4,2,0,32,8,2,0,8,32,2,0,2,4,0,0,1,1
8,4,0,0,32,8,0,2,8,32,2,0,2,4,4,0,2,1
8,4,0,0,32,8,2,0,8,32,2,2,2,8,0,0,2,1
8,4,0,0,32,8,2,2,8,32,4,0,2,8,0,0,2,1
8,4,0,0,32,8,4,0,8,32,4,2,2,8,0,0,2,1
8,4,0,0,32,8,4,0,8,32,4,2,2,8,0,0,2,0
8,4,0,0,32,8,4,0,8,32,4,2,2,8,0,0,2,0
8,4,0,0,32,8,4,0,8,32,4,2,2,8,0,0,2,0
8,4,0,0,32,8,4,0,8,32,4,2,2,8,0,0,0,1
8,4,8,2,32,8,0,0,8,32,0,0,2,8,0,2,2,1
8,4,8,2,32,8,2,0,8,32,0,0,2,8,2,0,2,1
8,4,8,2,32,8,2,0,8,32,0,0,2,8,2,0,2,0
8,4,8,2,32,8,2,0,8,32,0,0,2,8,2,0,2,0
8,4,8,2,32,8,2,0,8,32,0,0,2,8,2,0,2,0
8,4,8,2,32,8,2,0,8,32,0,0,2,8,2,0,3,1
8,4,8,2,0,32,8,2,0,0,8,32,2,2,8,2,3,1
8,4,8,2,0,32,8,2,0,2,8,32,0,4,8,2,0,1
8,4,16,4,0,32,16,32,0,2,0,2,0,4,2,0,2,1
8,4,16,4,32,16,32,0,4,0,0,0,4,2,0,2,1,1
0,2,0,0,8,4,0,0,32,16,16,4,8,2,32,2,2,1
2,0,0,0,8,4,0,0,32,32,4,2,8,2,32,2,3,1
0,0,0,2,2,0,8,4,0,64,4,2,8,2,32,2,3,1
0,2,0,2,0,2,8,4,0,64,4,2,8,2,32,2,3,1
0,0,2,4,0,2,8,4,0,64,4,2,8,2,32,2,2,1
2,4,2,0,2,8,4,0,64,4,2,0,8,2,32,2,3,1
2,2,4,2,0,2,8,4,0,64,4,2,8,2,32,2,3,1
0,4,4,2,2,2,8,4,0,64,4,2,8,2,32,2,3,1
0,0,8,2,4,4,8,4,0,64,4,2,8,2,32,2,3,1
0,0,8,2,0,8,8,4,2,64,4,2,8,2,32,2,3,1
2,0,8,2,0,0,16,4,2,64,4,2,8,2,32,2,3,1
2,2,8,2,0,0,16,4,2,64,4,2,8,2,32,2,3,1
4,4,8,2,0,0,16,4,2,64,4,2,8,2,32,2,3,1
0,8,8,2,2,0,16,4,2,64,4,2,8,2,32,2,3,1
2,0,16,2,0,2,16,4,2,64,4,2,8,2,32,2,3,1
