0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,3.0,1.0,4.0
0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,1.0,12.0
0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,8.0,1.0,1.0,16.0
0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,2.0,8.0,1.0,1.0,20.0
0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,2.0,8.0,1.0,1.0,28.0
0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,4.0,8.0,2.0,8.0,0.0,1.0,32.0
0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,8.0,4.0,8.0,4.0,2.0,2.0,1.0,36.0
2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,8.0,0.0,0.0,4.0,8.0,4.0,2.0,1.0,1.0,64.0
4.0,2.0,2.0,2.0,8.0,16.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,68.0
0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,8.0,16.0,4.0,4.0,1.0,1.0,72.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,4.0,0.0,8.0,16.0,4.0,4.0,1.0,1.0,80.0
0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,2.0,0.0,2.0,8.0,16.0,8.0,4.0,1.0,1.0,84.0
2.0,4.0,2.0,2.0,4.0,16.0,8.0,4.0,8.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,92.0
4.0,0.0,0.0,0.0,2.0,4.0,4.0,0.0,4.0,16.0,8.0,4.0,8.0,4.0,2.0,2.0,2.0,1.0,104.0
4.0,0.0,0.0,2.0,2.0,8.0,2.0,0.0,4.0,16.0,8.0,2.0,8.0,4.0,4.0,4.0,2.0,1.0,112.0
4.0,2.0,0.0,0.0,2.0,8.0,2.0,2.0,4.0,16.0,8.0,2.0,8.0,8.0,4.0,0.0,1.0,1.0,116.0
4.0,2.0,2.0,0.0,2.0,8.0,2.0,0.0,4.0,16.0,8.0,2.0,8.0,8.0,4.0,4.0,1.0,1.0,120.0
4.0,2.0,0.0,0.0,2.0,8.0,4.0,2.0,4.0,16.0,8.0,2.0,8.0,8.0,4.0,4.0,1.0,1.0,124.0
4.0,2.0,0.0,0.0,2.0,8.0,4.0,2.0,4.0,16.0,8.0,4.0,8.0,8.0,4.0,4.0,1.0,1.0,132.0
4.0,2.0,2.0,0.0,2.0,8.0,4.0,0.0,4.0,16.0,8.0,2.0,8.0,8.0,4.0,8.0,3.0,1.0,152.0
